Janelia_ID,Line,CGID,Gene,Flybase_ID,Flybase_Link,Expressed,Eve_Expression,Seq_coord_of_fragment,Fragment_length,Transmembrane_Domain,Signal_Domain,Interpro_Description_GO_Term_Name,Functional_Group,SMART_ID,PFAM_ID,aCC,RP2,Us,Pcc,Els,
,https://flweb.janelia.org/cgi-bin/view_flew_imagery.cgi?line=R60D08&mode=embryo,GMR60D08,R60D08,CG10604,REPTOR,FBgn0039209,http://flybase.org/reports/FBgn0039209.htm,"CNS small subset, EVE lateral cells, Head, Other: bodywall, Scattered",Lateral cells,2L:19766596..19767133,537,,,"GO:0006355~regulation of DNA-templated transcription,GO:0006357~regulation of transcription by RNA polymerase II,GO:0006986~response to unfolded protein,GO:0038202~TORC1 signaling,GO:0042594~response to starvation,GO:0045893~positive regulation of DNA-templated transcription,,GO:0005634~nucleus,GO:0005694~chromosome,GO:0005829~cytosol,,GO:0000981~DNA-binding transcription factor activity, RNA polymerase II-specific,GO:0003677~DNA binding,GO:0003700~DNA-binding transcription factor activity,GO:1990837~sequence-specific double-stranded DNA binding,",TF,,,no,no,no,no,no,
,https://flweb.janelia.org/cgi-bin/view_flew_imagery.cgi?line=R60E11&mode=embryo,GMR60E11,R60E11,CG7105,bsh,FBgn0000529,http://flybase.org/reports/FBgn0000529.htm,"CNS small subset, EVE lateral cells, Head, Other: bodywall",Lateral cells,2L:7870431..7871215,784,,,"GO:0006355~regulation of DNA-templated transcription,GO:0006357~regulation of transcription by RNA polymerase II,GO:0007420~brain development,GO:0048663~neuron fate commitment,,GO:0005634~nucleus,,GO:0003674~molecular_function,",TF,"SM00389:HOX,","PF00046:Homeodomain,",no,no,no,no,?,
,https://flweb.janelia.org/cgi-bin/view_flew_imagery.cgi?line=R64B09&mode=embryo,GMR64B09,R64B09,CG6703,Gαi,FBgn0001104,http://flybase.org/reports/FBgn0001104.htm,"CNS small subset, EVE lateral cells, Head, Other: bodywall, Other: gut/internal",Lateral cells,3R:17630560..17633473,2913,,,"GO:0007186~G protein-coupled receptor signaling pathway,GO:0007188~adenylate cyclase-modulating G protein-coupled receptor signaling pathway,GO:0007419~ventral cord development,GO:0008356~asymmetric cell division,GO:0019722~calcium-mediated signaling,GO:0019991~septate junction assembly,GO:0030866~cortical actin cytoskeleton organization,GO:0032291~axon ensheathment in central nervous system,GO:0032880~regulation of protein localization,GO:0045167~asymmetric protein localization involved in cell fate determination,GO:0051294~establishment of spindle orientation,GO:0055059~asymmetric neuroblast division,GO:0060857~establishment of glial blood-brain barrier,,GO:0005737~cytoplasm,GO:0005834~heterotrimeric G-protein complex,GO:0005886~plasma membrane,GO:0005938~cell cortex,GO:0016324~apical plasma membrane,GO:0045179~apical cortex,,GO:0005391~P-type sodium:potassium-exchanging transporter activity,GO:0005524~ATP binding,GO:0008556~P-type potassium transmembrane transporter activity,GO:0016887~ATP hydrolysis activity,GO:0046872~metal ion binding,",None,"SM00275:G_alpha,","PF00503:G-alpha,",yes,?,no,yes,no,
,https://flweb.janelia.org/cgi-bin/view_flew_imagery.cgi?line=R64G01&mode=embryo,GMR64G01,R64G01,CG18319,CASK,FBgn0013759,http://flybase.org/reports/FBgn0013759.htm,"CNS small subset, EVE lateral cells, Head, Other: bodywall, Other: gut/internal",Lateral cells,X:13862488..13866136,3648,,,"GO:0007269~neurotransmitter secretion,GO:0007274~neuromuscular synaptic transmission,GO:0007298~border follicle cell migration,GO:0007615~anesthesia-resistant memory,GO:0007616~long-term memory,GO:0007628~adult walking behavior,GO:0008049~male courtship behavior,GO:0008104~protein localization,GO:0008344~adult locomotory behavior,GO:0008582~regulation of synaptic assembly at neuromuscular junction,GO:0016080~synaptic vesicle targeting,GO:0016081~synaptic vesicle docking,GO:0016310~phosphorylation,GO:0040011~locomotion,GO:0040012~regulation of locomotion,GO:0046928~regulation of neurotransmitter secretion,GO:0048149~behavioral response to ethanol,GO:0048488~synaptic vesicle endocytosis,GO:0072375~medium-term memory,GO:1900073~regulation of neuromuscular synaptic transmission,GO:1900244~positive regulation of synaptic vesicle endocytosis,GO:2000331~regulation of terminal button organization,,GO:0005886~plasma membrane,GO:0005911~cell-cell junction,GO:0031594~neuromuscular junction,GO:0061174~type I terminal bouton,GO:0097060~synaptic membrane,,GO:0003677~DNA binding,",Synapse,"SM00072:GuKc,SM00228:PDZ,SM00326:SH3,SM00569:L27,","PF00018:SH3_1,PF00069:Pkinase,PF00595:PDZ,PF00625:Guanylate_kin,PF02828:L27,",no,no,?,no,?,
,https://flweb.janelia.org/cgi-bin/view_flew_imagery.cgi?line=R65B04&mode=embryo,GMR65B04,R65B04,CG14734,ben,FBgn0000173,http://flybase.org/reports/FBgn0000173.htm,"CNS deep layer, CNS small subset, EVE lateral cells, Head",Lateral cells,3R:7828728..7831155,2427,,,"GO:0000209~protein polyubiquitination,GO:0006301~postreplication repair,GO:0006979~response to oxidative stress,GO:0007409~axonogenesis,GO:0007412~axon target recognition,GO:0007625~grooming behavior,GO:0007629~flight behavior,GO:0007630~jump response,GO:0008594~photoreceptor cell morphogenesis,GO:0043068~positive regulation of programmed cell death,GO:0045977~positive regulation of mitotic cell cycle, embryonic,GO:0046330~positive regulation of JNK cascade,GO:0051124~synaptic assembly at neuromuscular junction,GO:0060074~synapse maturation,GO:0061057~peptidoglycan recognition protein signaling pathway,GO:0070534~protein K63-linked ubiquitination,GO:0072347~response to anesthetic,GO:1903265~positive regulation of tumor necrosis factor-mediated signaling pathway,,GO:0005634~nucleus,GO:0005829~cytosol,GO:0031372~UBC13-MMS2 complex,GO:0048471~perinuclear region of cytoplasm,,GO:0000978~RNA polymerase II cis-regulatory region sequence-specific DNA binding,GO:0001228~DNA-binding transcription activator activity, RNA polymerase II-specific,GO:0003712~transcription coregulator activity,GO:0043035~chromatin insulator sequence binding,GO:0046872~metal ion binding,",TFs and Synapse,"SM00212:UBCc,","PF00179:UQ_con,",no,no,no,no,yes,
,https://flweb.janelia.org/cgi-bin/view_flew_imagery.cgi?line=R65F05&mode=embryo,GMR65F05,R65F05,CG7563,Cbp53E,FBgn0004580,http://flybase.org/reports/FBgn0004580.htm,"CNS small subset, EVE lateral cells, Head, Other: bodywall, Other: gut/internal, Poor stain",Lateral cells,2R:15313685..15314160,475,,,"GO:0099509~regulation of presynaptic cytosolic calcium ion concentration,GO:1900271~regulation of long-term synaptic potentiation,,GO:0005634~nucleus,GO:0005829~cytosol,GO:0030425~dendrite,GO:0043195~terminal bouton,GO:0045202~synapse,GO:0061175~type II terminal bouton,GO:0097467~type III terminal bouton,,GO:0004930~G protein-coupled receptor activity,GO:0004937~alpha1-adrenergic receptor activity,GO:0008226~tyramine receptor activity,GO:0008227~G protein-coupled amine receptor activity,",Synapse,"SM00054:EFh,","PF00036:EF-hand_1,PF13499:EF-hand_7,",?,?,?,?,?,UNCLEAR STAINING
,https://flweb.janelia.org/cgi-bin/view_flew_imagery.cgi?line=R67A04&mode=embryo,GMR67A04,R67A04,CG9151,CalpA,FBgn0012051,http://flybase.org/reports/FBgn0012051.htm,"CNS small subset, CNS superficial layer, EVE lateral cells, Head",Lateral cells,X:15269122..15272125,3003,,,"GO:0006508~proteolysis,GO:0007520~myoblast fusion,GO:0008340~determination of adult lifespan,GO:0008345~larval locomotory behavior,GO:0009953~dorsal/ventral pattern formation,GO:0016322~neuron remodeling,GO:0016540~protein autoprocessing,GO:0042335~cuticle development,GO:0050832~defense response to fungus,,GO:0005737~cytoplasm,GO:0005783~endoplasmic reticulum,GO:0005794~Golgi apparatus,GO:0015629~actin cytoskeleton,GO:0043025~neuronal cell body,",None,"SM00054:EFh,SM00230:CysPc,SM00720:calpain_III,","PF00648:Peptidase_C2,PF01067:Calpain_III,",no,no,yes,no,?,
,https://flweb.janelia.org/cgi-bin/view_flew_imagery.cgi?line=R69C11&mode=embryo,GMR69C11,R69C11,CG7383,Frq2,FBgn0083228,http://flybase.org/reports/FBgn0083228.htm,"CNS small subset, EVE lateral cells, Head, Other: bodywall, Scattered",Lateral cells,3L:21773633..21777448,3815,,,"GO:0007268~chemical synaptic transmission,GO:0007269~neurotransmitter secretion,GO:0007528~neuromuscular junction development,GO:0016192~vesicle-mediated transport,GO:0046928~regulation of neurotransmitter secretion,,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0008021~synaptic vesicle,GO:0016020~membrane,GO:0043231~intracellular membrane-bounded organelle,,GO:0000978~RNA polymerase II cis-regulatory region sequence-specific DNA binding,GO:0000981~DNA-binding transcription factor activity, RNA polymerase II-specific,GO:0003682~chromatin binding,GO:0043035~chromatin insulator sequence binding,GO:0043565~sequence-specific DNA binding,",TFs and Synapse,"SM00054:EFh,","PF00036:EF-hand_1,PF13499:EF-hand_7,",no,no,no,no,no,
,https://flweb.janelia.org/cgi-bin/view_flew_imagery.cgi?line=R71E08&mode=embryo,GMR71E08,R71E08,CG8238,cas,FBgn0004878,http://flybase.org/reports/FBgn0004878.htm,"CNS small subset, EVE lateral cells, Head, Poor stain",Lateral cells,2R:7567054..7570576,3522,,,"GO:0006355~regulation of DNA-templated transcription,GO:0007402~ganglion mother cell fate determination,GO:0007417~central nervous system development,GO:0007419~ventral cord development,GO:0009791~post-embryonic development,GO:0014019~neuroblast development,GO:0016319~mushroom body development,GO:0021782~glial cell development,GO:0040034~regulation of development, heterochronic,GO:0045664~regulation of neuron differentiation,GO:0045892~negative regulation of DNA-templated transcription,GO:0045944~positive regulation of transcription by RNA polymerase II,GO:0048699~generation of neurons,GO:2000177~regulation of neural precursor cell proliferation,,GO:0005634~nucleus,",TF,"SM00355:ZnF_C2H2,",,no,no,no,no,no,
,https://flweb.janelia.org/cgi-bin/view_flew_imagery.cgi?line=R72A04&mode=embryo,GMR72A04,R72A04,CG31660,sif,FBgn0085447,http://flybase.org/reports/FBgn0085447.htm,"CNS small subset, EVE lateral cells, Head, Other: bodywall",Lateral cells,2L:4852947..4854691,1744,,,"GO:0001654~eye development,GO:0007264~small GTPase-mediated signal transduction,GO:0007601~visual perception,GO:0016043~cellular component organization,GO:0030036~actin cytoskeleton organization,GO:0043087~regulation of GTPase activity,GO:0050770~regulation of axonogenesis,GO:0050772~positive regulation of axonogenesis,GO:0050803~regulation of synapse structure or activity,GO:0051491~positive regulation of filopodium assembly,GO:0090630~activation of GTPase activity,,GO:0016020~membrane,GO:0045202~synapse,",Synapse,"SM00228:PDZ,SM00233:PH,SM00325:RhoGEF,SM00455:RBD,SM00461:WH1,","PF00169:PH,PF00568:WH1,PF00621:RhoGEF,PF02196:RBD,PF18385:Tiam_CC_Ex,",no,no,no,no,no,
,https://flweb.janelia.org/cgi-bin/view_flew_imagery.cgi?line=R77A06&mode=embryo,GMR77A06,R77A06,CG7345,tup,FBgn0003896,http://flybase.org/reports/FBgn0003896.htm,"EVE lateral cells, Head, Other: bodywall",Lateral cells,3L:14101816..14105296,3480,,,"GO:0007390~germ-band shortening,GO:0007391~dorsal closure,GO:0007409~axonogenesis,GO:0007411~axon guidance,GO:0007507~heart development,GO:0007521~muscle cell fate determination,GO:0008045~motor neuron axon guidance,GO:0008258~head involution,GO:0008407~chaeta morphogenesis,GO:0010468~regulation of gene expression,GO:0022416~chaeta development,GO:0035050~embryonic heart tube development,GO:0035310~notum cell fate specification,GO:0045944~positive regulation of transcription by RNA polymerase II,GO:0046665~amnioserosa maintenance,GO:0048542~lymph gland development,GO:0048665~neuron fate specification,GO:0070983~dendrite guidance,,GO:0005634~nucleus,,GO:0004930~G protein-coupled receptor activity,GO:0004993~G protein-coupled serotonin receptor activity,GO:0008227~G protein-coupled amine receptor activity,GO:0016907~G protein-coupled acetylcholine receptor activity,GO:0030594~neurotransmitter receptor activity,",TFs and Axon Guidance,"SM00132:LIM,SM00389:HOX,","PF00046:Homeodomain,PF00412:LIM,",?,?,?,?,?,UNCLEAR STAINING
,https://flweb.janelia.org/cgi-bin/view_flew_imagery.cgi?line=R77H03&mode=embryo,GMR77H03,R77H03,CG11849,Pvf3,FBgn0085407,http://flybase.org/reports/FBgn0085407.htm,"CNS small subset, EVE lateral cells, Head",Lateral cells,3R:21001603..21005295,3692,,SignalP-noTM,"GO:0008039~synaptic target recognition,GO:0008347~glial cell migration,GO:0016322~neuron remodeling,GO:0030335~positive regulation of cell migration,GO:0035099~hemocyte migration,GO:0045793~positive regulation of cell size,GO:0048010~vascular endothelial growth factor receptor signaling pathway,,GO:0005615~extracellular space,GO:0016020~membrane,",Synapse,"SM00141:PDGF,","PF00341:PDGF,",?,?,?,?,?,UNCLEAR STAINING
,https://flweb.janelia.org/cgi-bin/view_flew_imagery.cgi?line=R78H08&mode=embryo,GMR78H08,R78H08,CG15781,crol,FBgn0020309,http://flybase.org/reports/FBgn0020309.htm,"CNS small subset, EVE lateral cells, Head, Other: bodywall",Lateral cells,X:5477890..5480672,2782,,,"GO:0001655~urogenital system development,GO:0006357~regulation of transcription by RNA polymerase II,GO:0007155~cell adhesion,GO:0007476~imaginal disc-derived wing morphogenesis,GO:0009790~embryo development,GO:0030178~negative regulation of Wnt signaling pathway,GO:0045892~negative regulation of DNA-templated transcription,GO:0045931~positive regulation of mitotic cell cycle,,GO:0000792~heterochromatin,GO:0005634~nucleus,",TF,"SM00355:ZnF_C2H2,","PF00096:zf-C2H2,",no,no,?,no,no,
,https://flweb.janelia.org/cgi-bin/view_flew_imagery.cgi?line=R79A03&mode=embryo,GMR79A03,R79A03,CG12833,dan,FBgn0039286,http://flybase.org/reports/FBgn0039286.htm,"CNS small subset, EVE lateral cells, Head, Other: bodywall, Scattered",Lateral cells,2R:3001020..3003765,2745,,,"GO:0006355~regulation of DNA-templated transcription,GO:0007379~segment specification,GO:0007469~antennal development,GO:0021556~central nervous system formation,GO:0048749~compound eye development,,GO:0005634~nucleus,",TF,,"PF04218:CENP-B_N,",no,no,no,no,no,
,https://flweb.janelia.org/cgi-bin/view_flew_imagery.cgi?line=R80G03&mode=embryo,GMR80G03,R80G03,CG31753,CG1958,FBgn0029940,http://flybase.org/reports/FBgn0029940.htm,"CNS small subset, EVE lateral cells, Head, Other: gut/internal",Lateral cells,2L:18765784..18769127,3343,,,,None,,,no,no,?,no,?,UNCLEAR STAINING
,https://flweb.janelia.org/cgi-bin/view_flew_imagery.cgi?line=R82B01&mode=embryo,GMR82B01,R82B01,CG13141,B-H1,FBgn0011758,http://flybase.org/reports/FBgn0011758.htm,"CNS small subset, EVE lateral cells, Head, Other: bodywall, Poor stain",Lateral cells,2L:10348163..10348686,523,,,"GO:0000122~negative regulation of transcription by RNA polymerase II,GO:0001751~compound eye photoreceptor cell differentiation,GO:0006355~regulation of DNA-templated transcription,GO:0006357~regulation of transcription by RNA polymerase II,GO:0007455~eye-antennal disc morphogenesis,GO:0007479~leg disc proximal/distal pattern formation,GO:0007601~visual perception,GO:0008052~sensory organ boundary specification,GO:0008057~eye pigment granule organization,GO:0008407~chaeta morphogenesis,GO:0045892~negative regulation of DNA-templated transcription,GO:0050896~response to stimulus,,GO:0005634~nucleus,",TF,"SM00389:HOX,","PF00046:Homeodomain,",?,?,?,?,?,UNCLEAR STAINING
,https://flweb.janelia.org/cgi-bin/view_flew_imagery.cgi?line=R82B03&mode=embryo,GMR82B03,R82B03,CG34367,jumu,FBgn0015396,http://flybase.org/reports/FBgn0015396.htm,"CNS small subset, EVE lateral cells, Head",Lateral cells,2L:10349002..10350635,1633,,,"GO:0006325~chromatin organization,GO:0006355~regulation of DNA-templated transcription,GO:0007000~nucleolus organization,GO:0007391~dorsal closure,GO:0007476~imaginal disc-derived wing morphogenesis,GO:0009611~response to wounding,GO:0035050~embryonic heart tube development,GO:0046427~positive regulation of receptor signaling pathway via JAK-STAT,GO:0048749~compound eye development,GO:0050832~defense response to fungus,GO:0051302~regulation of cell division,,GO:0000785~chromatin,GO:0000791~euchromatin,GO:0005634~nucleus,GO:0005700~polytene chromosome,GO:0005701~polytene chromosome chromocenter,GO:0005730~nucleolus,",TF,"SM00339:FH,","PF00250:Forkhead,",no,no,no,no,no,
,https://flweb.janelia.org/cgi-bin/view_flew_imagery.cgi?line=R82F03&mode=embryo,GMR82F03,R82F03,CG4575,NFAT,FBgn0030505,http://flybase.org/reports/FBgn0030505.htm,"CNS small subset, EVE lateral cells, Head, Other: bodywall",Lateral cells,X:6807449..6810505,3056,,,"GO:0006355~regulation of DNA-templated transcription,GO:0006357~regulation of transcription by RNA polymerase II,GO:0009651~response to salt stress,GO:0010604~positive regulation of macromolecule metabolic process,GO:0033173~calcineurin-NFAT signaling cascade,GO:0048468~cell development,GO:0048731~system development,GO:2000301~negative regulation of synaptic vesicle exocytosis,,GO:0005667~transcription regulator complex,GO:0005737~cytoplasm,GO:0043227~membrane-bounded organelle,GO:0043229~intracellular organelle,",TFs and Synapse,"SM00429:IPT,","PF00554:RHD_DNA_bind,PF16179:RHD_dimer,",?,?,?,?,?,UNCLEAR STAINING
,https://flweb.janelia.org/cgi-bin/view_flew_imagery.cgi?line=R82F09&mode=embryo,GMR82F09,R82F09,CG11085,fd102C,FBgn0039937,http://flybase.org/reports/FBgn0039937.htm,"CNS small subset, EVE lateral cells, Head, Other: bodywall, Scattered",Lateral cells,X:12514243..12514702,459,,,"GO:0006355~regulation of DNA-templated transcription,GO:0006357~regulation of transcription by RNA polymerase II,GO:0009653~anatomical structure morphogenesis,GO:0030154~cell differentiation,,GO:0005634~nucleus,",TF,"SM00339:FH,","PF00250:Forkhead,",no,no,no,no,no,
,https://flweb.janelia.org/cgi-bin/view_flew_imagery.cgi?line=R9D08&mode=embryo,GMR9D08,R9D08,CG31670,sba,FBgn0016754,http://flybase.org/reports/FBgn0016754.htm,"CNS small subset, EVE lateral cells, Head, Other: bodywall",Lateral cells,2L:1956872..1960038,3166,,,"GO:0008150~biological_process,,GO:0005634~nucleus,GO:0010369~chromocenter,",None,"SM00293:PWWP,SM00391:MBD,","PF00855:PWWP,",?,no,yes,?,yes,
,https://flweb.janelia.org/cgi-bin/view_flew_imagery.cgi?line=R9G03&mode=embryo,GMR9G03,R9G03,CG5403,Alh,FBgn0261238,http://flybase.org/reports/FBgn0261238.htm,"CNS small subset, EVE lateral cells, Head, Other: bodywall, Poor stain",Lateral cells,2R:19539600..19540085,485,,,"GO:0002168~instar larval development,GO:0006355~regulation of DNA-templated transcription,GO:0006357~regulation of transcription by RNA polymerase II,GO:0007482~haltere development,GO:0007526~larval somatic muscle development,GO:0007591~molting cycle, chitin-based cuticle,,GO:0005634~nucleus,",TF,"SM00249:PHD,","PF13831:PHD_2,PF13832:zf-HC5HC2H_2,",no,no,?,no,?,
,https://flweb.janelia.org/cgi-bin/view_flew_imagery.cgi?line=R15E01&mode=embryo,GMR15E01,R15E01,CG9533,Adcy1,FBgn0003301,http://flybase.org/reports/FBgn0003301.htm,"CNS small subset, EVE medial cells, Head, Other: bodywall, Other: gut/internal",Medial cells,X:14698546..14702381,3835,TMhelix,,"GO:0001661~conditioned taste aversion,GO:0006171~cAMP biosynthetic process,GO:0006979~response to oxidative stress,GO:0007189~adenylate cyclase-activating G protein-coupled receptor signaling pathway,GO:0007268~chemical synaptic transmission,GO:0007274~neuromuscular synaptic transmission,GO:0007528~neuromuscular junction development,GO:0007591~molting cycle, chitin-based cuticle,GO:0007611~learning or memory,GO:0007612~learning,GO:0007613~memory,GO:0007614~short-term memory,GO:0007615~anesthesia-resistant memory,GO:0007617~mating behavior,GO:0007619~courtship behavior,GO:0007623~circadian rhythm,GO:0008306~associative learning,GO:0008340~determination of adult lifespan,GO:0008355~olfactory learning,GO:0009190~cyclic nucleotide biosynthetic process,GO:0009408~response to heat,GO:0010738~regulation of protein kinase A signaling,GO:0030431~sleep,GO:0035556~intracellular signal transduction,GO:0048149~behavioral response to ethanol,GO:0048675~axon extension,GO:0072375~medium-term memory,GO:0090328~regulation of olfactory learning,,GO:0005886~plasma membrane,GO:0016020~membrane,GO:0045202~synapse,,GO:0000977~RNA polymerase II transcription regulatory region sequence-specific DNA binding,GO:0000981~DNA-binding transcription factor activity, RNA polymerase II-specific,GO:0001228~DNA-binding transcription activator activity, RNA polymerase II-specific,GO:0003700~DNA-binding transcription factor activity,GO:0005515~protein binding,GO:0043565~sequence-specific DNA binding,GO:0046982~protein heterodimerization activity,GO:0046983~protein dimerization activity,GO:0140297~DNA-binding transcription factor binding,",TF,"SM00044:CYCc,","PF00211:Guanylate_cyc,PF06327:Adcy_cons_dom,PF16214:AC_N,",yes,yes,no,yes,yes,
,https://flweb.janelia.org/cgi-bin/view_flew_imagery.cgi?line=R19G12&mode=embryo,GMR19G12,R19G12,CG2302,nAChRα3,FBgn0015519,http://flybase.org/reports/FBgn0015519.htm,"CNS small subset, EVE medial cells, Head, Midline, Other: bodywall, Other: gut/internal, Poor stain",Medial cells,X:8180454..8181774,1320,TMhelix,SignalP-noTM,"GO:0006812~monoatomic cation transport,GO:0007268~chemical synaptic transmission,GO:0007271~synaptic transmission, cholinergic,GO:0034220~monoatomic ion transmembrane transport,GO:0042391~regulation of membrane potential,,GO:0005886~plasma membrane,GO:0005892~acetylcholine-gated channel complex,GO:0043005~neuron projection,GO:0045202~synapse,GO:0045211~postsynaptic membrane,,GO:0004888~transmembrane signaling receptor activity,GO:0015464~acetylcholine receptor activity,GO:0022848~acetylcholine-gated monoatomic cation-selective channel activity,",TF,,"PF02931:Neur_chan_LBD,PF02932:Neur_chan_memb,",?,?,no,?,no,
,https://flweb.janelia.org/cgi-bin/view_flew_imagery.cgi?line=R25A05&mode=embryo,GMR25A05,R25A05,CG4969,Wnt6,FBgn0031902,http://flybase.org/reports/FBgn0031902.htm,"CNS small subset, EVE medial cells, Head, Other: bodywall, Other: gut/internal",Medial cells,2L:7330083..7333903,3820,TMhelix,SignalP-noTM,"GO:0016055~Wnt signaling pathway,GO:0030182~neuron differentiation,GO:0045165~cell fate commitment,GO:0060070~canonical Wnt signaling pathway,,GO:0005576~extracellular region,GO:0005615~extracellular space,,GO:0005102~signaling receptor binding,GO:0005109~frizzled binding,GO:0005125~cytokine activity,",TFs and Synapse,"SM00097:WNT1,","PF00110:wnt,",no,no,no,no,?,
,https://flweb.janelia.org/cgi-bin/view_flew_imagery.cgi?line=R31G10&mode=embryo,GMR31G10,R31G10,CG11895,CadN,FBgn0015609,http://flybase.org/reports/FBgn0015609.htm,"CNS small subset, EVE medial cells, Midline",Medial cells,2R:6564614..6567912,3298,TMhelix,,"GO:0000902~cell morphogenesis,GO:0001736~establishment of planar polarity,GO:0007043~cell-cell junction assembly,GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules,GO:0007163~establishment or maintenance of cell polarity,GO:0007411~axon guidance,GO:0007412~axon target recognition,GO:0007413~axonal fasciculation,GO:0009887~animal organ morphogenesis,GO:0016043~cellular component organization,GO:0016318~ommatidial rotation,GO:0016339~calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules,GO:0030154~cell differentiation,GO:0031290~retinal ganglion cell axon guidance,GO:0034332~adherens junction organization,GO:0044331~cell-cell adhesion mediated by cadherin,GO:0045463~R8 cell development,GO:0045467~R7 cell development,GO:0048589~developmental growth,GO:0048675~axon extension,GO:0048731~system development,GO:0048814~regulation of dendrite morphogenesis,GO:0048841~regulation of axon extension involved in axon guidance,GO:0048846~axon extension involved in axon guidance,GO:0050774~negative regulation of dendrite morphogenesis,GO:0098609~cell-cell adhesion,,GO:0005886~plasma membrane,GO:0005911~cell-cell junction,GO:0005912~adherens junction,GO:0016020~membrane,GO:0016342~catenin complex,GO:0030424~axon,GO:0030425~dendrite,,GO:0004674~protein serine/threonine kinase activity,GO:0004697~diacylglycerol-dependent serine/threonine kinase activity,GO:0005524~ATP binding,GO:0046872~metal ion binding,GO:0106310~protein serine kinase activity,",Synapse,"SM00112:CA,SM00179:EGF_CA,SM00181:EGF,SM00282:LamG,","PF00008:EGF,PF00028:Cadherin,PF01049:CADH_Y-type_LIR,PF02210:Laminin_G_2,PF12661:hEGF,",yes,?,yes,no,no,
,https://flweb.janelia.org/cgi-bin/view_flew_imagery.cgi?line=R37H11&mode=embryo,GMR37H11,R37H11,CG11111,rho,FBgn0004635,http://flybase.org/reports/FBgn0004635.htm,"CNS deep layer, CNS small subset, EVE medial cells, Head, Other: bodywall",Medial cells,X:13658821..13661744,2923,TMhelix,,"GO:0000281~mitotic cytokinesis,GO:0001742~oenocyte differentiation,GO:0001752~compound eye photoreceptor fate commitment,GO:0007391~dorsal closure,GO:0007409~axonogenesis,GO:0007420~brain development,GO:0007436~larval salivary gland morphogenesis,GO:0007438~oenocyte development,GO:0007474~imaginal disc-derived wing vein specification,GO:0007476~imaginal disc-derived wing morphogenesis,GO:0007479~leg disc proximal/distal pattern formation,GO:0008586~imaginal disc-derived wing vein morphogenesis,GO:0010628~positive regulation of gene expression,GO:0010629~negative regulation of gene expression,GO:0016485~protein processing,GO:0035160~maintenance of epithelial integrity, open tracheal system,GO:0035202~tracheal pit formation in open tracheal system,GO:0035225~determination of genital disc primordium,GO:0035311~wing cell fate specification,GO:0038004~epidermal growth factor receptor ligand maturation,GO:0042058~regulation of epidermal growth factor receptor signaling pathway,GO:0042327~positive regulation of phosphorylation,GO:0042749~regulation of circadian sleep/wake cycle,GO:0043703~photoreceptor cell fate determination,GO:0045465~R8 cell differentiation,GO:0048149~behavioral response to ethanol,GO:0048865~stem cell fate commitment,GO:0061331~epithelial cell proliferation involved in Malpighian tubule morphogenesis,GO:0090317~negative regulation of intracellular protein transport,,GO:0000139~Golgi membrane,GO:0005737~cytoplasm,GO:0005794~Golgi apparatus,GO:0016020~membrane,GO:0031902~late endosome membrane,GO:0045177~apical part of cell,,GO:0000978~RNA polymerase II cis-regulatory region sequence-specific DNA binding,GO:0000981~DNA-binding transcription factor activity, RNA polymerase II-specific,GO:0000987~cis-regulatory region sequence-specific DNA binding,GO:0001221~transcription coregulator binding,GO:0003677~DNA binding,GO:0019904~protein domain specific binding,GO:0043565~sequence-specific DNA binding,GO:0045505~dynein intermediate chain binding,",TFs and Axon Guidance,,"PF01694:Rhomboid,",?,no,no,?,no,
,https://flweb.janelia.org/cgi-bin/view_flew_imagery.cgi?line=R45G03&mode=embryo,GMR45G03,R45G03,CG8127,robo3,FBgn0041097,http://flybase.org/reports/FBgn0041097.htm,"CNS deep layer, CNS small subset, EVE medial cells, Head, Midline, Other: bodywall",Medial cells,3L:18071848..18075573,3725,TMhelix,SignalP-noTM,"GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules,GO:0007411~axon guidance,GO:0007419~ventral cord development,GO:0008038~neuron recognition,GO:0008406~gonad development,GO:0016201~synaptic target inhibition,GO:0016319~mushroom body development,GO:0045214~sarcomere organization,GO:0048036~central complex development,GO:0050808~synapse organization,,GO:0005737~cytoplasm,GO:0005886~plasma membrane,GO:0030424~axon,GO:0031430~M band,GO:0043025~neuronal cell body,,GO:0000977~RNA polymerase II transcription regulatory region sequence-specific DNA binding,GO:0000978~RNA polymerase II cis-regulatory region sequence-specific DNA binding,GO:0000981~DNA-binding transcription factor activity, RNA polymerase II-specific,GO:0001228~DNA-binding transcription activator activity, RNA polymerase II-specific,GO:0003677~DNA binding,",Axon Guidance,"SM00060:FN3,SM00406:IGv,SM00408:IGc2,SM00409:IG,","PF00041:fn3,PF07679:I-set,PF13927:Ig_3,",yes,yes,yes,no,no,
